Dist_MCA	Dist_MPA	Area_SAC_L
58512.24722	7897.840354	0
6010.135751	1636.659823	0
0	16459.25391	11.75363984
11015.18154	0	0
74330.30908	67099.11198	0.173129775
74982.02435	75718.67997	0
3505.131288	32301.56381	1.46467853
130816.7523	30351.0239	0.182443914
117244.1377	4768.464227	0
62539.17673	55212.01631	0
119354.8654	3194.854764	0
59347.6396	88140.23332	0.809025352
4494.290342	15766.68237	6.419695675
0	0	0
40792.38822	0	0
72532.57015	51061.26889	0.06287249
102824.4354	0	0
0	22571.51814	0
96688.76201	83495.87505	4.890120179
38074.07338	33824.76954	44.86593202
173331.4947	8806.27809	0
11595.72391	13651.86499	15.56327197
78438.66816	109051.4484	0.332508582
7025.465956	5374.415382	0
90148.58178	42121.87051	0
164723.6263	2078.113388	0.759854503
102283.0434	20742.57136	0
18770.8731	21665.30041	0
75241.28477	5056.725996	14.90356038
12733.40265	16302.13896	0.950240404
99329.45996	83648.83922	2.715896922
13253.06803	12359.59538	5.99816467
40823.47533	37897.84035	0
14388.02263	26963.66134	0.092019557
316.9699503	8873.09691	0.002197891
67012.13186	63866.87827	0
49441.95762	43794.54565	0
21716.86232	22531.93403	14.52849434
45641.26645	27897.84035	0
64555.07736	95223.72062	0.816757427
157765.4238	8209.719895	0
0	0	1.766722593
13783.60455	14419.14974	5.091773458
33194.09239	46.50227732	0
25063.58703	0	0
151944.2065	29.83843641	0
0	0	0
33137.03488	53970.51141	0
39331.41025	47800.38344	13.47227057
71539.62046	70050.58107	0.254563142
27289.28965	35785.83626	0
104217.2242	9692.160265	0
31469.35546	0	1.248898846
70689.38365	71532.40565	0
3615.712686	0	0
37289.28965	46810.74233	0
0	0	0
52462.58749	53249.36414	23.59328016
27289.28965	37249.48169	0
40099.96609	3836.95276	1.413163962
10799.00291	16498.00573	0
7728.67809	0	1.83210916
50105.81765	12241.92601	56.18712404
2163.53109	2647.78609	0
35563.56109	6339.368354	0
49344.16196	0	0
115881.8128	14231.73273	0
3394.292646	0	0
120689.3836	42516.7648	6.786831827
24329.51965	29838.12649	16.73298738
163827.6947	7571.260586	0
70815.75414	71651.39231	4.909926825
82647.33424	76779.37693	0
52525.57328	44037.91483	0
33709.74886	7927.239574	0
11596.56881	3651.324354	0.033148277
11495.43372	12231.08964	0
