FID	Area_WHS	Area_SSSI	Area_SPA	Area_SAC	Area_RAMSA	Area_NR	Area_NNR	Area_MPAdi	Area_MCA	Area_LNR	Area_COUNE	Area_CNTRY	Area_BIOSP	Area_BIOGE	Count_WW	Count_Air	Count_Bus	Count_Hotel	Sum_Rating	Count_CarPark	Count_TourOp	Count_train	Mean_Wild	Dist_Motorway	Dist_A_road	Dist_B_road	Dist_min_road	Area_NP	Area_PA	Dist_road	Count_Inf	Dist_Coast	Mean_Nat	Dist_Air	Dist_Bus	Dist_CarPark	Dist_Hotel	Dist_TourOp	Dist_Train	Pop_dens	Pop	PDist	PDist.1	
638	637	0	3.130677556	0	0.524982175	0	0	0	0	0	0	0	0	0	0	2	0	0	2	4.7	0	0	0	100.3926625	0	1675.70334	4684.126898	0	0	3.655659731	0	2	30209.58657	210.0345062	60705.42616	1675.773528	5561.635432	0	13362.78055	23142.00174	2.774107666	277.4107666	50015.78309	50015.78309
639	638	0	3.072797917	0	2.101398866	0	0.839435005	0	0	0	0.000133828	0	0	0	0	6	0	14	7	4.8	0	0	0	48.75784375	0	0	0	0	0	3.074514494	0	21	23139.78609	120.737425	25649.87663	0	7986.613801	0	5129.599912	1089.313953	113.5256204	11352.56204	72764.78195	72764.78195
640	639	0	33.99903416	33.9990376	34.23036001	34.0168812	0	0	0	0	0	0	0	0	0	8	0	32	3	3.9	0	0	0	87.41992325	0	0	0	0	0	34.31089187	0	31	0	191.6615152	48653.10938	0	25067.05088	0	22676.28482	238194.4558	2.746195873	231.6762791	5659.908948	5659.908948
641	640	0	0	0	0	0	0	0	0.961296405	0	0	0	0	1.800742263	0	0	0	0	0	0	0	0	0	60.34483903	28.02435399	2185.024354	2384.024354	28.02435399	0	2.762038667	28.02435399	0	0	109.8343293	46203.93937	2179.995229	15535.17196	1995.620218	31942.1495	15165.80456	0	0	76099.88658	76099.88658
642	641	0	15.68189065	21.4673707	15.70795847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144.2761312	0	8481.909688	26283.02435	0	0	33.47002282	0	0	22382.67092	209.9814187	51496.40726	5367.978685	12640.43974	4926.858632	14507.76151	11961.16746	1.571446381	157.1446381	32064.25094	32064.25094
643	642	0	26.49706487	95.08270042	96.41102285	0	0	24.40365594	71.99394252	0	0	0	0	0	0	1	0	0	0	0	0	0	0	139.0226015	1007.024354	18862.56934	17955.22171	1007.024354	0	98.50428508	1007.024354	0	0	201.5581798	55034.27754	17906.89685	29264.47129	1536.056628	17850.48926	20181.94187	2.130392849	58.60146713	0	0
644	643	0	0.166497231	0.166438446	0.166497675	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	136.8978559	0	13384.30279	4471.21391	0	0	0.166498542	0	1	0	228.7926845	40263.62713	0	37354.50635	4993.842734	8365.373461	111130.8555	1.624464771	99.58996868	20167.86902	20167.86902
645	644	0	52.78711834	52.6451691	0.905770136	0	0	0	0	0	0	0	0	0.985680298	0	1	0	0	0	0	0	0	0	79.16035625	0	101.2398543	0	0	0	53.14858185	0	0	21672.09724	182.8683813	19338.19485	622.0292211	11163.81775	345.4152349	19289.61056	4700.0974	57.6860556	5768.60556	89737.85026	89737.85026
646	645	0	1.31613782	0	0.035015182	0	0	0	0	0	0	0	0	0	0	39	0	54	9	0	1	0	0	35.9297125	0	0	0	0	0	1.351153001	0	66	1465.587693	83.65419375	25812.60448	0	0	0	3841.119252	2220.493415	48.70774994	4870.774994	18734.28192	18734.28192
647	646	0	1.423068503	0	0.018459045	0	0	0	0	0	0	0	0	0	0	22	0	8	36	29.8	0	0	0	91.1452625	0	0	10974.02435	0	78.98281181	79.34886079	0	44	22986.88693	184.7654875	50585.66187	0	8362.206599	0	5308.717323	17758.06805	5.667702026	566.7702026	58515.07205	58515.07205
648	647	0	19.81980495	0	19.82277712	0	0	0	0	0	0	0	0	100	0	1	0	0	1	0	0	0	0	91.4316875	0	6146.66573	8357.78609	0	0	100	0	1	17192.46023	176.871225	29750.30246	6376.952572	903.7968737	0	2824.862456	14485.9725	4.669594879	466.9594879	91562.81148	91562.81148
649	648	0	0	0.637452191	0.307392765	0.63533082	0	0	98.79777729	0	0	0	0	0	0	1	0	0	0	0	0	0	0	147.200692	1770.975546	7632.307244	2436.975646	1770.975546	0	99.50148996	1770.975546	0	0	249.461338	16668.78997	2131.960887	19218.83276	1715.540814	48636.10575	101336.5436	0	0	5757.862439	5757.862439
650	649	0	5.996876387	0	5.190001342	0	0	0	0	0	0	0	0	100	0	2	0	8	2	4.2	1	0	1	109.5291187	0	0	21638.96318	947.2139104	0	100	0	12	5168.128454	196.9280687	71196.96021	0	0	0	14742.73137	0	1.212584562	121.2584562	22585.53802	22585.53802
