FID	Records	Species
993	275	102
994	0	0
995	59	40
996	0	0
997	158	94
998	531	74
999	0	0
1000	14	7
1001	296	96
1002	0	0
1003	808	194
1004	408	150
1005	40	33
1006	210	78
1007	9	1
1008	216	83
1009	19	19
1010	18	18
1011	148	69
1012	0	0
1013	30	30
1014	179	100
1015	378	163
1016	402	95
1017	2	2
1018	79	65
1019	4	4
1020	4	4
1021	24	19
1022	0	0
1023	2	2
1024	64	47
1025	198	116
1026	19	19
1027	32	20
1028	17	17
1029	4	4
1030	108	56
1031	0	0
1032	0	0
1033	1198	209
1034	37	25
1035	1	1
1036	12	11
1037	1305	175
1038	0	0
1039	41	41
1040	8	8
1041	19	19
1042	0	0
1043	6	6
1044	8191	323
1045	15	10
1046	6	4
1047	0	0
1048	2	2
1049	15	14
1050	3	3
1051	1	1
1052	50	41
1053	20	19
1054	45	43
1055	163	90
1056	431	168
1057	38	21
1058	0	0
1059	425	131
1060	0	0
1061	5	5
1062	12	11
1063	0	0
1064	27	26
1065	136	91
1066	5	4
1067	76	36
1068	2	1
1069	4	4
1070	111	47
1071	0	0
1072	29	19
1073	90	58
1074	0	0
1075	172	86
1076	4907	105
1077	2149	88
1078	0	0
1079	14	10
1080	524	170
1081	5	4
1082	23	23
1083	2	2
1084	129	105
1085	69	46
1086	250	129
1087	2	1
1088	1866	122
1089	371	113
1090	23	19
1091	310	145
1092	5	5
1093	346	72
1094	2	2
1095	0	0
1096	114	77
1097	30	24
1098	36	36
1099	84	43
1100	2	2
1101	605	178
1102	0	0
1103	0	0
1104	7	7
1105	3	3
1106	0	0
1107	97	61
1108	17	17
1109	34	34
1110	18	15
1111	10	8
1112	59	38
1113	36	22
1114	587	126
1115	5	5
1116	0	0
1117	3	3
1118	298	96
1119	6	4
1120	16	13
1121	39	23
1122	0	0
1123	0	0
1124	4	4
1125	33	10
1126	436	137
1127	8	8
1128	119	62
1129	0	0
1130	39	22
1131	44	36
1132	15	11
1133	14	14
1134	0	0
