"FID"	"Area_WHS"	"Area_SSSI"	"Area_SPA"	"Area_SAC"	"Area_RAMSA"	"Area_NR"	"Area_NNR"	"Area_MPAdi"	"Area_MCA"	"Area_LNR"	"Area_COUNE"	"Area_CNTRY"	"Area_BIOSP"	"Area_BIOGE"	"Count_WW"	"Count_Air"	"Count_Bus"	"Count_Hotel"	"Sum_Rating"	"Count_CarPark"	"Count_TourOp"	"Count_train"	"Mean_Wild"	"Dist_Motorway"	"Dist_A_road"	"Dist_B_road"	"Dist_min_road"	"Longitude"	"Latitude"	"Area_NP"	"Area_PA"	"Dist_road"	"Count_Inf"	"Dist_Coast"	"Mean_Nat"	"Dist_Air"	"Dist_Bus"	"Dist_CarPark"	"Dist_Hotel"	"Dist_TourOp"	"Dist_Train"	"Pop_dens"	"Pop"	"Dist_MCA"	"Dist_MPA"	"Area_SAC_L"	"Dist_MSAC"	"Records"	"Species"
13	0	3.678089969	24.88638904	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	106.3832625	204.024354	1818.21391	5754.024354	204.024354	-5.233052178	58.41135294	0	24.88638904	204.024354	0	0	169.6585106	61736.89546	1842.088504	25115.81	1328.537946	24421.88219	59838.12959	1.484113475	7.855551243	701.9236663	32915.61545	0	5390.485497	4786	254
14	0	9.74503901	9.11129413	20.82882744	0	0	0	0.013673387	0	0	0	0	0	0	112	0	4	13	0	0	1	0	84.59270981	0	0	0	0	-6.044042848	56.49993219	0	29.19412383	0	16	0	169.2069724	45860.73677	0	19400.28309	0	6.353816324	30312.38883	2.90361227	229.6351147	11366.17981	50.32396967	1.399910141	1294.760641	534	172
15	0	2.091598061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77.82876902	251.1340882	261.5519224	7075.975646	251.1340882	-2.454951739	55.30709012	0	2.091598061	251.1340882	0	44728.36178	163.6426003	84589.83638	233.7082481	17850.12381	3132.73953	29974.24115	31654.44253	0	0	57227.28143	81832.93567	0	53855.57828	0	0
16	0	0.013082333	0.013124439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	113.2211375	1642.68975	2064.373735	6072.024354	1642.68975	-4.75929853	56.71490673	0	0.013124589	1642.68975	1	7498.975646	206.1261438	90602.20056	2769.071594	4245.064889	1075.954651	18010.92169	0	2.887732849	288.7732849	18038.04377	28263.23762	0	34983.414	5	3
17	0	0.815670544	0.815670232	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	136.2342657	5628.892449	10383.6155	6665.78609	5628.892449	-2.502198346	58.99002093	0	0.815670388	5628.892449	0	0	141.1795096	13789.89042	8032.067148	21627.35053	8063.322883	41600.56052	63315.21391	0	0	125106.6838	21861.01332	0	24247.79676	2	2
18	0	9.185167062	92.67241743	99.99993325	0	0	9.185168955	91.2136229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124.6789949	7726.179543	28347.43391	21092.46615	7726.179543	-6.420040043	56.93690362	0	100	7726.179543	0	0	169.5833098	49107.60602	23154.05864	29893.81409	5039.774188	22955.28213	30181.94187	0	0	34705.93798	0	8.803374342	0	0	0
19	0	0	4.158462645	0	2.097291136	0	0	0	0	0	0	0	0	0	6	0	43	6	0	0	0	0	70.21872131	0	0	12380.56439	0	-6.598441677	58.3695051	0	4.168007155	0	49	0	191.688804	16260.69735	0	15633.39554	0	20974.3702	117169.5918	1.034584471	40.23969269	7053.433684	13765.2139	0	17499.62036	43	43
20	0	0.796438848	0	0	0	0	0	0	0	0	0	0	12.22002229	0	30	0	93	46	37.9	2	0	0	44.65630057	0	0	0	0	-3.855437076	54.93434061	0	12.76524272	0	146	0	99.96708108	71536.46192	0	0	0	0	15159.4138	49.43622168	4922.723068	67786.30465	78269.80505	0	141450.7321	29	24
21	0	18.9595682	0	54.26432509	0	0	0	52.93925485	0	0	0	0	0	0	9	0	1	3	0	0	0	0	90.4709304	0	10650.02435	0	0	-6.072955907	56.76876539	0	73.22389328	0	4	0	168.2132799	50755.51328	0	18996.33731	0	6878.52587	14384.96545	1.423734481	63.44503117	4634.40291	28.8838266	0	0	1	1
22	0	7.561188444	71.92949047	7.510094067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121.7554813	1981.396307	1981.396307	7166.21391	2390.940023	-5.419804029	56.78841264	0	74.28405397	1981.396307	0	2012.216765	193.3693688	88571.89774	2785.083417	4200.74832	3191.389121	3928.241424	3875.60254	1.037374077	103.7374077	6249.427298	6628.314093	7.510094067	18968.32537	1	1
23	0	6.088243358	10.04880961	0.778946613	6.926480437	0	0	0	0	0	0	0	0	0	52	0	56	17	21.5	2	0	1	50.77670579	0	0	0	0	-4.163395239	57.71509397	0	14.25902888	0	78	0	122.0724187	14504.09556	0	0	0	2406.45573	0	15.64735396	1084.125931	77355.88653	47997.05155	0.16962627	5569.409381	213	106
24	0	1.356776644	0	0	0	0	0	0	0	0	0	0	0	0	7	0	40	1	0	0	0	0	83.24947361	0	0	0	0	-1.25732739	60.24603935	0	1.356776644	0	41	0	205.2516506	35978.13138	0	1063.922356	0	5116.486132	217983.0094	2.718175549	227.0723724	332.2339104	20727.69091	0	12144.31838	44	35
25	0	2.503715201	0.894274379	3.799285706	0.766421858	0.756997598	0	0	0	0	0	0	0	0	6	0	1	1	4	0	0	1	108.2323875	0	7630.332457	0	3847.024354	-4.596108115	56.71841633	0	4.017934847	0	3	17498.97565	221.2570625	89880.80257	0	14241.02703	0	26424.73774	0	1.322136803	132.2136803	26719.64588	37576.29515	3.799285706	44011.65312	1	1
26	0	0.003735519	0	40.37318031	0	0	0	32.85540631	14.76667437	0	0	0	0	0	130	0	2	26	13.6	1	0	0	95.21882011	0	0	11224.96018	0	-6.347481596	56.30978113	0	42.17051881	0	29	0	193.0069604	31653.81546	0	0	0	17462.92465	49687.91652	0.919649345	51.05813026	0	0	0	1304.304293	569	164
27	0	0.876886663	0	3.720146268	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	85.40782681	0	4696.96955	10662.97565	0	-5.960223193	55.69330925	0	4.59703293	0	0	0	169.9472542	12473.97405	4758.97988	30452.66582	2309.911025	21547.023	64174.64803	0	0	13771.05279	26132.17183	0	3404.861251	0	0
28	0	1.084873592	1.032393068	2.777774964	0	0	0	33.67234056	0	0	0	0	100	0	25	0	35	21	8.5	0	0	0	90.22002375	0	0	4046.975646	0	-5.521379851	57.86435923	0	100	0	54	0	187.764249	54683.38882	0	28112.94058	0	12841.56068	34547.06461	0.951106598	61.32745934	29037.60462	0	0.094212635	4765.208717	262	145
29	0	0.016935718	0	0	0	0	0	0	0	0	0	0	0	0	23	0	11	2	0	0	0	0	64.2036375	0	120.024354	0	0	-3.080092142	55.12343513	0	0.016935718	0	13	9564.21391	147.1735625	88089.10904	0	135.3138342	0	13660.87154	8634.294407	6.54689209	654.689209	95113.30983	120744.3884	0	97439.77688	0	0
30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	90.802589	0	10314.56637	5354.326019	0	-0.890065842	60.42306937	0	0	0	0	0	202.0887881	58384.49592	2623.026191	25897.96995	2720.70301	16064.67407	245883.906	0	0	12566.46528	11442.76748	0	9025.768557	0	0
31	0	4.604138747	0	0	0	0	0	0	0.248049742	0	0	0	0	0	19	0	28	14	4.6	0	0	0	94.16160103	0	0	9161.831864	0	-7.03292405	57.81330345	0	4.852188489	0	43	0	204.5361138	35271.6412	0	17987.25555	0	10145.84761	90319.94061	1.964292777	131.0575581	0	19153.71987	0	9703.330198	0	0
32	0	0	0	0	0	0	0	0	0	0	0	0	100	0	1	0	4	1	0	0	0	0	63.34113125	0	0	1039.142894	0	-4.020424553	55.11146756	0	100	0	5	17034.50968	144.0698813	49403.6601	0	13877.44019	0	8064.368631	21433.11953	3.01101368	301.101368	59327.40183	65097.07948	0	121270.9742	150	54
33	0	5.629906673	26.16684784	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0	0	0	0	0	89.22933182	0	16803.0327	21438.02435	0	-1.978961832	60.1585918	0	26.16684784	0	1	0	219.8494222	0	17891.26317	29353.54453	13419.86796	39303.96597	188813.0162	0	0	34278.10506	32541.09738	0	22188.95889	32	25
34	0	1.404032069	0	1.404031943	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	87.27578125	0	1169.579808	1603.81841	0	-4.511219442	57.88838386	0	1.404032006	0	1	749.3897113	176.421275	40452.83729	1523.998353	4343.231206	0	22870.75279	1462.122669	1.613641205	161.3641205	55426.06415	28474.87565	1.404031943	24156.28595	0	0
35	0	0.965169367	0.453762074	0.680004089	0	0	0	0	0	0	0	0	0	0	0	0	10	2	0	0	0	0	77.03099375	0	0	4394.837566	0	-2.927480815	55.30441473	0	1.179725713	0	12	29779.81697	164.3029562	70619.85836	0	8960.672434	0	21201.70429	26846.3052	5.198091736	519.8091736	73153.97908	102234.6799	0.680004089	77481.51836	1	1
36	0	0.08108407	0	0	0	0	0	0	0	0	0	0	0	0	1	0	28	12	0	1	0	2	46.3804	0	0	0	0	-2.983825252	57.55009807	0	0.08108407	0	43	7707.78609	104.2956875	53855.64644	0	0	0	8926.257247	0	64.30591949	6430.591949	136578.7944	9930.87209	0	26243.19143	3	3
37	0	5.251112608	0	5.251112438	0	0	0	0	0	0	0	0	0	0	6	0	3	4	0	0	0	0	86.55564155	0	1746.975197	0	0	-5.332708526	55.80187388	0	5.251112523	0	7	0	165.2570359	39594.48061	0	12290.67682	0	19421.23088	23229.21008	4.472492908	220.880188	17353.15618	16671.58802	5.237338286	17162.74777	0	0
38	0	78.34887394	77.02161475	77.02161437	77.0609665	0	34.58041214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105.3883	886.2139104	5637.975646	3393.496308	886.2139104	-3.69380254	58.44092214	0	83.36117289	886.2139104	0	8407.712591	231.3772875	30086.49353	6458.009709	13242.70864	2188.119879	8200.31778	838.7870175	3.182813263	318.2813263	46750.68723	19286.82028	77.02161437	36457.157	0	0
39	0	22.44035612	20.29929822	7.12913688	20.2780514	0	0	54.10905558	0	0	0	0	0	0	12	0	0	7	4.1	0	0	0	92.87331389	0	24069.00565	0	0	-6.551387944	56.6622406	0	76.5705009	0	7	0	181.2080483	19736.91379	10892.7907	2907.488283	0	383.7186736	44956.3451	3.198358175	138.9890556	27022.99335	0	1.528507725	4724.274849	168	102
40	0	15.75973402	70.13118262	7.790996049	0	7.782833766	7.786122261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109.4941813	579.7860896	579.7860896	766.7860896	647.7860896	-4.894915325	56.35229723	4.711245269	77.32160519	579.7860896	0	3845.213913	191.9829438	54309.38607	638.9940255	10382.92908	711.4582233	25322.48121	712.1564896	2.561278	256.1278	3820.72891	4111.49391	7.790996049	30923.88968	0	0
41	0	0.186615331	0	0	0	0	0	0	0	0.266917056	0	2.02989175	0	0	74	0	288	8	8.7	1	0	3	40.84060625	0	0	0	0	-3.268373439	56.11007362	0	2.384148378	0	296	176.2139104	92.0537625	12669.07271	0	0	0	8003.436003	0	458.7744116	45877.44116	56624.49395	67778.08839	0	26733.69901	2218	114
42	0	1.77863504	0.038017235	1.740617824	0	0	0	0	0	0	0	0	0	0	3	0	10	4	4.1	0	0	0	88.16841461	0	0	0	0	-5.499992164	55.88712978	0	1.778635155	0	13	0	169.3782167	44993.54457	0	22356.51664	0	10828.07861	33141.99302	6.596346629	653.7228966	5458.234367	5456.095347	1.739888049	7286.977188	20	16
43	0	4.368866924	45.33126787	33.01325419	0	0	0	6.692750086	0	0	0	0	0	0	16	0	2	8	9.6	0	0	0	93.47422819	0	0	1808.78609	0	-6.025042402	56.32069815	0	79.35822565	0	10	0	173.1268189	49359.83696	0	8914.736549	0	1740.754371	29764.12506	2.258436677	136.9191217	8906.361252	21.01281223	0	1680.611396	36	31
44	0	0.447607352	0	0	0	0	0	19.9156186	0	0	0	0	0	0	3	0	0	0	0	0	0	0	67.55362839	0	5737.418593	4923.496636	0	-5.452034576	55.34896804	0	20.36322595	0	0	0	140.9882376	11014.18736	2506.145393	5831.661503	1331.869974	13352.2408	33811.09827	0	0	46156.72989	288.5095763	0	41364.42198	18	16
45	0	14.69623934	0	12.63518642	0	0	9.16906204	0	0	0	0	0	0	0	41	0	2	12	9.3	0	0	0	61.23170625	0	0	0	0	-4.237707619	56.18617819	38.09423454	47.7986311	0	14	10700.95483	138.5036313	31051.32016	0	236.1705164	0	22811.21678	11891.9108	11.99443123	1199.443123	37240.82193	33930.89155	12.63518642	60953.60218	137	87
46	0	0	0	0.015870211	0	0	0	0	0	0	0	0.006167398	0	0	25	0	28	13	3.8	0	0	0	48.97006875	0	0	0	0	-2.643363799	57.19297746	0	0.022037609	0	41	26798.37538	110.0624938	21788.07085	0	8473.809069	0	27321.04401	11070.48721	20.78294098	2078.294098	134377.017	48542.19257	0.015870211	70437.86445	373	55
47	0	0.037653489	0	0.075307505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95.73469388	805.975646	13099.03389	4202.223135	805.975646	-2.14053628	55.4875667	0	0.075307505	805.975646	0	24552.78609	196.1406509	85473.22596	3881.003511	24818.70209	2156.226257	25446.13337	34996.29362	14.15334518	145.1991882	37867.63898	62168.93197	0.075307505	25584.04127	0	0
48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87.70974195	106.8182448	10735.79223	106.8182448	130.7860896	-2.611089349	55.21654961	0	0	106.8182448	0	30627.48041	171.5774681	87637.46031	321.8328886	19136.85031	1534.86349	33147.00257	30588.95606	26.62445233	499.2435341	73382.83145	99808.52863	0	66722.17732	0	0
49	0	0.005485948	0	92.64987909	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	97.13678845	0	1278.975646	16682.97565	0	-6.852976292	57.73040171	0	92.65536504	0	1	0	218.1359686	34423.11153	14.95074621	24297.3216	0	13412.99114	76318.20079	0	0	4194.343646	19451.36427	0	0	0	0
50	0	0.678904458	0	0.982262393	0	0	0	0	0	0	0	0	0	0	8	0	10	6	0	0	0	0	66.84699994	0	5378.381719	0	0	-2.29878024	55.48728244	0	1.02926899	0	16	25571.2862	145.8760712	77349.29658	0	18558.3578	0	26385.0267	25402.65711	5.850115752	576.5927124	35312.47244	60397.2719	0.982262393	33558.74348	0	0
51	0	0	63.26558844	0.051878118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145.5392938	3685.78609	6863.700505	10462.21391	3685.78609	-3.952332454	56.90988368	100	100	3685.78609	0	55487.50915	251.49055	65545.37879	10289.41243	11187.90347	9804.863271	12956.78302	11266.69806	2.091699162	209.1699162	71422.921	82089.68706	0.051878118	66174.12111	0	0
52	0	2.459434107	2.459433964	0	0	0	0	28.47954593	0	0	0	0	0	0	17	1	0	4	0	0	1	0	58.82915475	0	22150.76722	556.8313368	0	-2.859497293	59.34733883	0	30.5773859	0	6	0	129.2578842	0	22140.79444	35748.494	0	0	86043.24627	1.530077319	14.41692734	122795.7352	0	0	11521.88804	31	28
53	0	1.021592476	0.332609008	0.267153982	0.331006872	0	0	0	0	0	0	0.850304357	0	0	80	0	207	36	24.9	0	0	0	33.04329375	0	0	0	0	-2.960310774	56.65192563	0	2.143218166	0	236	14837.89397	75.838625	17146.71895	0	5707.358383	0	130.1322519	14442.03219	94.50827194	9450.827194	81435.60653	51061.68635	0.267153982	20707.54198	407	86
54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	4	4	13.5	0	1	0	88.40780188	0	0	0	0	-6.308328942	57.39038506	0	0	0	9	0	200.5697007	58374.10738	0	1087.775679	0	0	31470.65825	5.189215619	518.8533421	21001.91865	11759.66519	0	7460.83077	158	75
55	0	0.949393306	0	0.609721	0	0	0	0	0	0	0	0	0	0	3	0	20	5	4.2	0	0	0	41.53651875	0	0	0	0	-2.301532977	55.84668043	0	1.008681967	0	25	3581.78609	87.483325	61582.0011	0	8140.115894	0	8330.764186	14458.74113	15.05050171	1505.050171	3570.45809	32471.87193	0.609721	10617.10078	31	19
56	0	8.395304878	8.395302362	8.395302362	8.397348625	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	1	93.7239625	0	112.024354	0	5883.703411	-4.025854703	58.25642659	0	8.406191423	0	4	18913.22972	209.8074188	52596.61045	17444.93279	36839.80314	0	6616.167802	0	1.702367268	170.2367268	37369.76771	20785.77526	8.395302362	25756.50503	0	0
57	0	25.5293598	0	2.84487318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114.8418548	0	0	1899.338191	22.24220267	-4.898862779	58.50918496	0	25.52937797	0	0	0	208.4233876	83584.86188	1811.98763	38979.09881	539.5667554	37394.27988	54713.78178	1.29595795	129.1634188	3389.446015	48046.91276	2.835041784	13430.24339	7	5
58	0	1.53469975	33.00635453	0	0	0	0	25.84593201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91.66028875	17.97564601	9076.98862	67.97564601	17.97564601	-0.701106506	60.60099065	0	33.11665966	17.97564601	0	0	159.8036275	80496.31407	8234.726009	46847.25531	3477.374803	8149.745499	267960.5122	8.502727201	30.86432076	25336.91657	0	0	14423.10978	42	42
59	0	0.399128663	28.92311797	2.503870636	25.03713836	0	0	10.99415828	0	0.15327132	0	0	0	0	64	0	65	5	0	0	0	0	87.08440857	0	0	0	0	-6.268377536	58.4708815	0	39.97238144	0	70	0	213.3320857	23079.77496	0	24242.21303	0	43205.84949	114765.9005	9.856232318	663.2266502	29305.25494	0	2.503870636	15239.79943	231	102
60	100	8.374570071	100	100	0	0	8.392731925	0	82.35979649	0	0	0	0	0	55	0	0	0	0	0	0	0	183.1710854	59965.52467	60695.50528	72957.11976	59965.52467	-8.554691751	57.83357711	0	100	59965.52467	0	0	219.7628157	74420.08062	59973.54215	68975.61239	59967.91149	59997.04896	174195.2728	0	0	0	25377.84846	8.344450957	81825.94448	1249	208
61	0	21.73813126	21.73813455	21.82458232	21.74058258	0	0	0	0	0	0	0	0	0	2	0	4	3	0	0	0	0	92.06796875	0	0	13910.7118	0	-4.699907238	58.15409298	0	21.93489616	0	7	8861.698488	191.0041188	71607.601	0	16057.12362	0	24610.48235	17416.12549	1.067435646	106.7435646	24171.20951	29574.04946	21.82458232	31097.99928	0	0
62	0	0.202926275	0	27.30752344	0	0	0	29.0394213	24.60259613	0	0	0	0	0	12	0	8	21	8.8	0	1	0	74.53338975	0	0	0	0	-5.540985805	56.33550158	0	33.66340246	0	30	0	137.3686408	77517.36022	0	1610.414281	0	0	3353.111223	87.3944491	5807.837349	0	0	0	1549.103258	478	164
63	0	0.353468727	2.18128397	0	0	0	0	13.55688229	0	0	0	0	0	0	14	0	6	2	0	0	0	0	133.3096552	0	1642.855705	19755.94969	0	-7.565559958	56.89093156	0	16.09163498	0	8	0	180.5347027	9907.762238	0	1792.230744	0	58939.87291	100181.9419	4.207528616	61.72211075	7055.623531	0	0	10287.45571	0	0
64	0	10.99781661	10.21306295	0.195633717	10.14294847	0	0	0	0	0	0	0	0	0	68	0	31	22	17	0	0	0	44.25711678	0	0	0	0	-4.325346397	57.62236674	0	11.37117082	0	52	0	99.15516377	12050.54223	0	1398.999599	0	4468.354197	887.9981131	30.09537752	2290.42308	64558.12298	43187.60495	0.195633717	11312.03299	329	123
65	0	1.854445144	1.237005359	0.5336555	1.241069341	0	0	0	0	0.055821614	0	0.496281715	0	0	285	0	398	105	123.3	8	0	1	34.06992764	0	0	0	0	-3.911217008	56.1017961	0	2.891136197	0	511	0	81.34009461	31499.67271	0	0	0	13332.66359	0	374.2319592	36045.32202	58983.80715	53794.54565	0.161511263	47082.87145	1522	188
66	0	6.460486686	3.229908223	6.301563744	3.233144068	0	0	0	0	0	0	0	0	0	118	0	43	18	21.9	0	1	0	45.54489639	0	0	0	0	-3.153714934	57.6384915	0	6.556718211	0	62	0	104.9261553	49005.9215	0	3419.307233	0	0	4394.84368	20.69018145	1986.341858	122457.92	4547.674923	5.937275564	12174.39119	281	137
67	0	1.731748714	0.473223569	0	0.478141186	0	0	0	0	0	0	0	0	0	81	0	37	47	16.5	2	0	0	33.2349302	0	0	0	0	-2.628189083	56.29467964	0	1.744667902	0	86	0	76.55352109	23183.77478	0	0	0	3095.155981	12040.55021	30.38501693	1276.950623	39367.75404	30762.1399	0	11465.28268	732	189
68	0	44.48210557	22.62849147	30.61871393	22.47077289	0	2.650195821	0	0	0	0	0	100	0	4	0	8	2	4	0	0	0	111.228175	0	0	4073.975646	1522.78609	-5.503947472	57.68505481	0	100	0	10	4330.026261	202.3595313	69765.17631	0	18850.70143	0	5625.955586	18551.80897	0.95248291	95.24829102	9034.537602	4419.878133	30.61871393	13611.15673	12	10
69	0	0.535076149	0.048445826	0	0.048173315	0	0	0	0	0	0	0	0	0	22	0	105	38	27.6	0	0	0	41.31525	0	0	0	0	-3.762876449	56.37357938	0	0.536330564	0	153	14120.02598	96.1194875	40805.30519	0	12497.41878	0	18793.14932	6039.239598	77.98908813	7798.908813	66839.95658	67415.52201	0	28564.78662	18	15
70	0	10.43578966	18.55271733	6.304079389	0	0	0	0	0	0	0	0	0	0	18	0	6	6	8.7	1	1	1	107.4501563	0	0	14543.38837	0	-5.42799977	56.87808586	0	21.37552905	0	15	296.0243541	190.2125375	91541.86597	0	0	0	0	0	1.570985737	157.0985737	15633.58449	16110.8178	6.304079389	17063.00988	11	10
71	0	2.941827403	4.20999321	3.564049803	1.493403283	0	0	0	0.9314179	0	0	0	0	0	1	0	6	1	0	0	0	0	128.6871812	0	5387.592526	0	0	-6.901823197	58.08833856	0	5.390989643	0	7	0	237.497456	30461.10323	0	27528.88271	0	7843.824651	104811.3974	1.096133695	106.8026066	0	26249.52435	3.536077288	15457.46733	17	17
72	0	2.69160195	0	0	0	0	0	0	0	0	0	0	0	0	124	1	143	42	41.8	9	0	3	34.08468953	0	0	0	0	-4.676925045	55.54825474	0	2.69160195	0	198	0	85.58271044	0	0	0	0	21594.78847	0	728.57278	26072.52441	20517.3663	14754.76173	0	61438.96559	32731	401
